profissao,salario,idade,sexo,regiao,estado,empresa,experiencia,trabalho,escolaridade,formacao,setor,satisfacao,modelo,nivel,linguagemPython,linguagemSQL,linguagemR,linguagemJava,linguagemJavascript,linguagemScala,linguagemVBA
Engenheiro de Dados,7000.0,32.0,Masculino,Sul,PR,Média,até 1 ano,CLT,Graduado,Comp/Sist,Tecnologia,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,28.0,Feminino,Sul,RS,Média,6 a 10 anos,PJ,Pós-Graduado,Comp/Sist,Finanças,1.0,Home-Office,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Outras,5000.0,46.0,Feminino,Sul,PR,Grande,até 1 ano,Servidor,Mestre,Comp/Sist,Governamental,0.0,Home-Office,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,35.0,Feminino,Sudeste,MG,Grande,1 a 2 anos,CLT,Pós-Graduado,Comp/Sist,Educação,1.0,Híbrido,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,27.0,Masculino,Sul,RS,Pequena,4 a 5 anos,CLT,Graduado,Engenharias,Marketing,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,3500.0,30.0,Feminino,Sul,PR,Pequena,1 a 2 anos,PJ,Doutor,Engenharias,Saúde,1.0,Home-Office,Júnior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,7000.0,34.0,Masculino,Sudeste,SP,Média,até 1 ano,CLT,Graduado,Econ/Adm,Finanças,1.0,Híbrido,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,3500.0,27.0,Masculino,Sul,RS,Pequena,2 a 3 anos,Estagiário,Estudante,Comp/Sist,Internet,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,7000.0,39.0,Masculino,Sudeste,MG,Média,Sem Exp.,CLT,Graduado,Outras,Indústria,0.0,Presencial,Sênior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,3500.0,26.0,Masculino,Sudeste,SP,Pequena,1 a 2 anos,CLT,Graduado,Engenharias,Educação,1.0,Híbrido,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,10000.0,40.0,Masculino,Sudeste,MG,Média,10+ anos,CLT,Mestre,Comp/Sist,Finanças,1.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,10000.0,33.0,Masculino,Sudeste,MG,Média,10+ anos,PJ,Pós-Graduado,Outras,Outro,0.0,Híbrido,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,27500.0,37.0,Masculino,Sul,SC,Grande,10+ anos,PJ,Pós-Graduado,Econ/Adm,Varejo,1.0,Home-Office,Sênior,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Engenheiro de Dados,18000.0,37.0,Masculino,Sudeste,SP,Média,6 a 10 anos,CLT,Graduado,Comp/Sist,Entretenimento,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Analista de BI,2500.0,18.0,Masculino,Sudeste,MG,Média,até 1 ano,Estagiário,Não Graduado,,Educação,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,1500.0,23.0,Masculino,Sudeste,SP,Média,1 a 2 anos,Estagiário,Estudante,Engenharias,Varejo,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,5000.0,30.0,Masculino,Sudeste,SP,Pequena,1 a 2 anos,PJ,Mestre,Outras,Outro,0.0,Híbrido,Pleno,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,10000.0,36.0,Masculino,Sudeste,SP,Grande,10+ anos,CLT,Pós-Graduado,Comp/Sist,Finanças,1.0,Home-Office,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,3500.0,30.0,Masculino,Sudeste,MG,Grande,até 1 ano,CLT,Graduado,Engenharias,Consultoria,1.0,Home-Office,Júnior,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,30.0,Feminino,Sudeste,SP,Grande,2 a 3 anos,CLT,Graduado,Estat/Mat,Tecnologia,1.0,Presencial,Pleno,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cientista de Dados,7000.0,25.0,Masculino,Sul,PR,Grande,4 a 5 anos,CLT,Pós-Graduado,Econ/Adm,Varejo,1.0,Home-Office,Pleno,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Analista de BI,2500.0,26.0,Masculino,Sudeste,MG,Média,1 a 2 anos,CLT,Graduado,Econ/Adm,Automotivo,0.0,Presencial,Sênior,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Analista de BI,10000.0,42.0,Masculino,Sudeste,SP,Média,10+ anos,CLT,Pós-Graduado,Comp/Sist,Outro,1.0,Home-Office,Sênior,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Engenheiro de Dados,14000.0,49.0,Masculino,Sudeste,MG,Grande,10+ anos,Servidor,Pós-Graduado,Comp/Sist,Governamental,0.0,Home-Office,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,2500.0,20.0,Masculino,Sul,SC,Grande,1 a 2 anos,CLT,Estudante,Comp/Sist,Consultoria,1.0,Home-Office,Júnior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,24.0,Masculino,Nordeste,CE,Grande,até 1 ano,CLT,Graduado,Econ/Adm,Indústria,0.0,Presencial,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,5000.0,24.0,Masculino,Sudeste,MG,Grande,até 1 ano,CLT,Graduado,Econ/Adm,Tecnologia,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,10000.0,43.0,Masculino,Sudeste,SP,Média,Sem Exp.,CLT,Graduado,Comp/Sist,Outro,0.0,Home-Office,Sênior,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Analista de Dados,1500.0,27.0,Masculino,Nordeste,CE,Média,até 1 ano,Estagiário,Pós-Graduado,Outras,Outro,1.0,Home-Office,Júnior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Outras,1500.0,22.0,Masculino,Sudeste,SP,Pequena,até 1 ano,CLT,Estudante,Mkt/Comun,Governamental,1.0,Presencial,Júnior,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outras,2500.0,43.0,Masculino,Centro-oeste,GO,Média,6 a 10 anos,CLT,Estudante,Comp/Sist,Governamental,1.0,Presencial,Pleno,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analista de Dados,27500.0,44.0,Masculino,Nordeste,SE,Grande,1 a 2 anos,CLT,Pós-Graduado,Econ/Adm,Indústria,1.0,Híbrido,Sênior,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Analista de BI,2500.0,23.0,Masculino,Sudeste,SP,Pequena,2 a 3 anos,PJ,Estudante,Engenharias,Tecnologia,1.0,Home-Office,Júnior,0.0,1.0,0.0,0.0,0.0,0.0,0.0
